Date,Open,High,Low,Close,Volume,Adj Close
2016-04-12,109.339996,110.50,108.660004,110.440002,26812000,110.440002
2016-04-11,108.970001,110.610001,108.830002,109.019997,28313500,109.019997
2016-04-08,108.910004,109.769997,108.169998,108.660004,23514500,108.660004
2016-04-07,109.949997,110.419998,108.120003,108.540001,30881000,108.540001
2016-04-06,110.230003,110.980003,109.199997,110.959999,26047800,110.959999
2016-04-05,109.510002,110.730003,109.419998,109.809998,26495300,109.809998
2016-04-04,110.419998,112.190002,110.269997,111.120003,37333500,111.120003
2016-04-01,108.779999,110.00,108.199997,109.989998,25626200,109.989998
2016-03-31,109.720001,109.900002,108.879997,108.989998,25685700,108.989998
2016-03-30,108.650002,110.419998,108.599998,109.559998,45159900,109.559998
2016-03-29,104.889999,107.790001,104.879997,107.68,30774100,107.68
2016-03-28,106.00,106.190002,105.059998,105.190002,19303600,105.190002
2016-03-24,105.470001,106.25,104.889999,105.669998,25480900,105.669998
2016-03-23,106.480003,107.07,105.900002,106.129997,25452600,106.129997
2016-03-22,105.25,107.290001,105.209999,106.720001,32232600,106.720001
2016-03-21,105.93,107.650002,105.139999,105.910004,35180800,105.910004
2016-03-18,106.339996,106.50,105.190002,105.919998,43402300,105.919998
2016-03-17,105.519997,106.470001,104.959999,105.800003,34244600,105.800003
2016-03-16,104.610001,106.309998,104.589996,105.970001,37893800,105.970001
2016-03-15,103.959999,105.18,103.849998,104.580002,39982500,104.580002
2016-03-14,101.910004,102.910004,101.779999,102.519997,25027400,102.519997
2016-03-11,102.239998,102.279999,101.50,102.260002,27200800,102.260002
2016-03-10,101.410004,102.239998,100.150002,101.169998,33470400,101.169998
2016-03-09,101.309998,101.580002,100.269997,101.120003,27130700,101.120003
2016-03-08,100.779999,101.760002,100.400002,101.029999,31274200,101.029999
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,101.870003
2016-03-04,102.370003,103.75,101.370003,103.010002,45936500,103.010002
2016-03-03,100.580002,101.709999,100.449997,101.50,36792200,101.50
2016-03-02,100.510002,100.889999,99.639999,100.75,33084900,100.75
2016-03-01,97.650002,100.769997,97.419998,100.529999,50153900,100.529999
2016-02-29,96.860001,98.230003,96.650002,96.690002,34876600,96.690002
2016-02-26,97.199997,98.019997,96.580002,96.910004,28913200,96.910004
2016-02-25,96.050003,96.760002,95.25,96.760002,27393900,96.760002
2016-02-24,93.980003,96.379997,93.32,96.099998,36155600,96.099998
2016-02-23,96.400002,96.50,94.550003,94.690002,31686700,94.690002
2016-02-22,96.309998,96.900002,95.919998,96.879997,34048200,96.879997
2016-02-19,96.00,96.760002,95.800003,96.040001,34485600,96.040001
2016-02-18,98.839996,98.889999,96.089996,96.260002,38494400,96.260002
2016-02-17,96.669998,98.209999,96.150002,98.120003,44390200,98.120003
2016-02-16,95.019997,96.849998,94.610001,96.639999,47490700,96.639999
2016-02-12,94.190002,94.50,93.010002,93.989998,40121700,93.989998
2016-02-11,93.790001,94.720001,92.589996,93.699997,49686200,93.699997
2016-02-10,95.919998,96.349998,94.099998,94.269997,42245000,94.269997
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,94.989998
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,95.010002
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,94.019997
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,96.599998
2016-02-03,95.00,96.839996,94.080002,96.349998,45964300,95.830001
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,93.970098
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,95.909571
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,96.814656
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,93.582196
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,92.915814
2016-01-26,99.93,100.879997,98.07,99.989998,75077000,99.450356
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,98.903329
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,100.872638
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,95.780276
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,96.267629
2016-01-19,98.410004,98.650002,95.50,96.660004,53087700,96.138333
2016-01-15,96.199997,97.709999,95.360001,97.129997,79833900,96.60579
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,98.982891
2016-01-13,100.32,101.190002,97.300003,97.389999,62439600,96.864389
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,99.420519
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,97.998236
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,96.43671
