"AAPL","Apple Inc.","4:00pm","3/1/2017",139.79,N/A,139.99,1900,139.98,100,36414585,+2.80,"+2.04%",137.90,136.99,"NMS",137.60,140.15,89.47,140.15,"USD",733.41B,128.44,116.42,29097900,140.91,1.67,25.19,69.75B,3.30,5.44,16.78,1.66,1.67,2.28,"2/9/2017","2/16/2017",8.33,8.94,10.15,1.62
"TWTR","Twitter, Inc. Common Stock","4:02pm","3/1/2017",15.79,228724,N/A,N/A,N/A,N/A,18165341,+0.02,"+0.13%",15.90,15.77,"NYQ",15.59,15.90,13.73,25.25,"USD",11.27B,16.79,18.22,19323900,14.25,3.45,6.45,136.26M,4.45,2.44,N/A,1.74,N/A,N/A,N/A,N/A,-0.65,0.30,0.41,0.06
