Date,Dividends
2016-11-03,0.57
2017-05-11,0.63
2013-11-06,0.43571
2013-05-09,0.43571
2015-05-07,0.52
2015-11-05,0.52
2013-08-08,0.43571
2014-02-06,0.43571
2015-08-06,0.52
2016-02-04,0.52
2012-11-07,0.37857
2014-05-08,0.47
2014-11-06,0.47
2016-05-05,0.57
2017-02-09,0.57
2012-08-09,0.37857
2013-02-07,0.37857
2014-08-07,0.47
2015-02-05,0.47
2016-08-04,0.57
